hour_of_day,completed_trips,total_cancellations,total_requests,cancellation_pct
0,11753641,899518,12653159,7.10903893644267
1,9012054,882669,9894723,8.920603436801617
2,7269841,1056840,8326681,12.692211938946624
3,4993060,559184,5552244,10.071315309629764
4,3816019,320185,4136204,7.741035016648115
5,5337850,343041,5680891,6.0385069877242845
6,9274035,576119,9850154,5.848832414193728
7,13060761,715053,13775814,5.19064064018286
8,16183685,1317958,17501643,7.530481566787758
9,16228276,759265,16987541,4.469540353132922
10,14828982,636700,15465682,4.116856922313546
11,14939155,701894,15641049,4.487512314551282
12,15142017,751189,15893206,4.726478723046816
13,15692068,842197,16534265,5.093646436657451
14,16973263,1013937,17987200,5.6369918608788465
15,18071144,1163046,19234190,6.0467636016905315
16,19202317,1235833,20438150,6.046696985783939
17,20977283,1510221,22487504,6.715823152271591
18,21414346,1388474,22802820,6.089045126874659
19,19802709,1043287,20845996,5.004735681614829
20,17403818,834678,18238496,4.576462883781645
21,16536297,933877,17470174,5.3455506510696456
22,16306764,1253013,17559777,7.135699957920878
23,14872285,1273346,16145631,7.886628896696574
