trip_date,total_revenue_cad,total_idle_minutes
2020-01-01,4107247.18,1891020.0
2020-01-02,2090023.91,3020548.0
2020-01-03,2539215.6,3541700.0
2020-01-04,2817644.77,3672653.0
2020-01-05,2466666.84,2441769.0
2020-01-06,2429450.95,3082978.0
2020-01-07,2416210.3,3266460.0
2020-01-08,2687621.66,3209282.0
2020-01-09,2797475.44,3370834.0
2020-01-10,3254331.55,3512950.0
2020-01-11,3694783.46,2995574.0
2020-01-12,2826471.83,2325684.0
2020-01-13,2566695.11,2890146.0
2020-01-14,2647994.89,3145745.0
2020-01-15,2712721.35,3288171.0
2020-01-16,3180983.55,3195546.0
2020-01-17,3851006.41,3092342.0
2020-01-18,3847817.78,1620174.0
2020-01-19,3053319.08,1729536.0
2020-01-20,2832213.1,2293198.0
2020-01-21,2847269.83,2725851.0
2020-01-22,3120349.8,2841720.0
2020-01-23,3093126.84,3048249.0
2020-01-24,3868656.75,2823401.0
2020-01-25,3792532.8,3237045.0
2020-01-26,2954710.3,2487904.0
2020-01-27,2581722.17,2872432.0
2020-01-28,2732616.93,3063691.0
2020-01-29,2872891.3,3168134.0
2020-01-30,3190488.91,3241400.0
2020-01-31,3619219.89,3212104.0
2020-02-01,3801060.28,3077369.0
2020-02-02,3220521.79,2314565.0
2020-02-03,2608917.54,2845886.0
2020-02-04,2584425.77,3300647.0
2020-02-05,2808539.52,3343329.0
2020-02-06,3140340.9,2849490.0
2020-02-07,3750487.23,2777971.0
2020-02-08,3786829.26,3251422.0
2020-02-09,2930825.23,2420031.0
2020-02-10,2690222.94,2694991.0
2020-02-11,2727780.9,3067718.0
2020-02-12,2848130.99,3306980.0
2020-02-13,3710211.28,2838476.0
2020-02-14,4435256.43,2654885.0
2020-02-15,3665472.9,3433566.0
2020-02-16,3107182.16,2708881.0
2020-02-17,2161157.69,2174831.0
2020-02-18,2913104.18,2700729.0
2020-02-19,2948308.82,3202695.0
2020-02-20,3322798.13,3139907.0
2020-02-21,3862469.85,3209279.0
2020-02-22,3916759.22,3409736.0
2020-02-23,3066301.9,2711272.0
2020-02-24,2586129.07,3097315.0
2020-02-25,2884165.93,3241998.0
2020-02-26,2972041.13,3196775.0
2020-02-27,3561399.06,2426685.0
2020-02-28,4084590.6,2522990.0
2020-02-29,4050346.18,2840900.0
2020-03-01,3094720.23,2423036.0
2020-03-02,2796095.86,2684758.0
2020-03-03,3118514.74,2700342.0
2020-03-04,3044532.89,3108669.0
2020-03-05,3248213.39,3007061.0
2020-03-06,3756148.8,3439663.0
2020-03-07,3817839.57,3264033.0
2020-03-08,2975078.42,2349347.0
2020-03-09,2545288.68,2896931.0
2020-03-10,2765833.38,3232721.0
2020-03-11,2727656.92,3396225.0
2020-03-12,2800669.6,3298251.0
2020-03-13,3045883.48,2958996.0
2020-03-14,2483955.39,3068618.0
2020-03-15,1852641.2,2346821.0
2020-03-16,1644807.3,2538664.0
2020-03-17,1303257.15,2668947.0
2020-03-18,1092956.4,2537550.0
2020-03-19,977490.15,2293977.0
2020-03-20,1085235.26,1984529.0
2020-03-21,841084.15,1733269.0
2020-03-22,652509.24,1249605.0
2020-03-23,765449.94,1312030.0
2020-03-24,685454.74,1308368.0
2020-03-25,574890.33,1318797.0
2020-03-26,558975.28,1275791.0
2020-03-27,644401.6,1172911.0
2020-03-28,529087.49,1046947.0
2020-03-29,468087.09,813094.0
2020-03-30,549961.19,1005069.0
2020-03-31,575339.92,994000.0
2020-04-01,562958.96,1020622.0
2020-04-02,539991.28,1048213.0
2020-04-03,609551.29,950023.0
2020-04-04,500149.99,884224.0
2020-04-05,422596.76,689933.0
2020-04-06,484871.56,741850.0
2020-04-07,480931.84,725213.0
2020-04-08,505056.27,650832.0
