trip_date,total_pooled_trips,total_trips,pool_efficiency_pct
2020-01-01,13407,192453,6.966376206138642
2020-01-02,7936,122471,6.479901364404634
2020-01-03,8612,150928,5.706032015265557
2020-01-04,9737,166225,5.857722965859527
2020-01-05,9435,142739,6.609966442247739
2020-01-06,9753,142724,6.833468792914997
2020-01-07,9492,144091,6.587503730281558
2020-01-08,11627,162487,7.1556493750269246
2020-01-09,11601,168464,6.886337733877861
2020-01-10,12820,196475,6.525003181066294
2020-01-11,17889,230137,7.773195965881192
2020-01-12,14578,165768,8.794218425751653
2020-01-13,11028,150923,7.307037363423732
2020-01-14,11077,157455,7.035025880410275
2020-01-15,11351,160704,7.063296495420151
2020-01-16,13537,190632,7.1011162868773345
2020-01-17,17812,233800,7.618477331052182
2020-01-18,21542,226888,9.49455237826593
2020-01-19,16485,179638,9.17678887540498
2020-01-20,13945,170074,8.199372038054022
2020-01-21,13162,171492,7.674993585706622
2020-01-22,14114,179462,7.864617579208969
2020-01-23,13179,183035,7.200262244925834
2020-01-24,19472,236871,8.2205082091096
2020-01-25,17932,225684,7.945623083603623
2020-01-26,15719,172305,9.122776471953802
2020-01-27,11625,153863,7.555422681216408
2020-01-28,11790,163306,7.21957552080144
2020-01-29,12096,171374,7.058246875255289
2020-01-30,13903,189366,7.341867072230496
2020-01-31,16887,219468,7.694515829186943
2020-02-01,18387,228670,8.040844885643066
2020-02-02,16625,187766,8.854105642129033
2020-02-03,11921,155298,7.676209609911268
2020-02-04,11513,158425,7.26716111724791
2020-02-05,12486,171552,7.278259653049804
2020-02-06,15306,192532,7.949847298111483
2020-02-07,18870,231373,8.155662069472237
2020-02-08,18810,232972,8.073931631268994
2020-02-09,16110,176035,9.15158917260772
2020-02-10,11077,159646,6.938476378988511
2020-02-11,11059,166841,6.628466623911389
2020-02-12,11401,174069,6.5497015551304365
2020-02-13,16830,222308,7.570577756985804
2020-02-14,21487,272123,7.8960617073896735
2020-02-15,16529,224734,7.354917368978437
2020-02-16,14436,186079,7.757995260077709
2020-02-17,8360,122658,6.815698935250861
2020-02-18,13249,174075,7.611087175068218
2020-02-19,12138,179711,6.754177540606864
2020-02-20,14022,202351,6.929543219455303
2020-02-21,16762,234801,7.138811163495896
2020-02-22,17147,234591,7.309317066724639
2020-02-23,13944,176824,7.885807356467447
2020-02-24,9913,154081,6.433629065231923
2020-02-25,10957,171380,6.393394795191972
2020-02-26,12355,185230,6.670085839226907
2020-02-27,15914,213026,7.47044961647874
2020-02-28,18333,252563,7.258782957123569
2020-02-29,17510,245357,7.136539817490433
2020-03-01,13627,181961,7.488967416094658
2020-03-02,11835,169588,6.978677736632309
2020-03-03,13394,188481,7.106286575304672
2020-03-04,11547,178825,6.457150845798966
2020-03-05,13196,185560,7.11144643242078
2020-03-06,15937,226103,7.048557515822434
2020-03-07,16388,225186,7.277539456271705
2020-03-08,13410,168088,7.977963923659035
2020-03-09,11450,150097,7.628400301138597
2020-03-10,12406,167184,7.420566561393435
2020-03-11,11400,163337,6.979435155537325
2020-03-12,11725,167263,7.009918511565619
2020-03-13,14192,186305,7.61761627438877
2020-03-14,10995,151909,7.237885839548677
2020-03-15,8452,109914,7.689648270466002
2020-03-16,6559,97208,6.7473870463336345
2020-03-17,915,71614,1.2776831345826234
2020-03-18,0,58602,0.0
2020-03-19,0,52595,0.0
2020-03-20,0,59461,0.0
2020-03-21,0,46553,0.0
2020-03-22,0,36270,0.0
2020-03-23,0,42532,0.0
2020-03-24,0,37833,0.0
2020-03-25,0,31627,0.0
2020-03-26,0,31020,0.0
2020-03-27,0,35622,0.0
2020-03-28,0,30477,0.0
2020-03-29,0,26694,0.0
2020-03-30,0,30779,0.0
2020-03-31,0,33187,0.0
2020-04-01,0,32064,0.0
2020-04-02,0,30787,0.0
2020-04-03,0,34845,0.0
2020-04-04,0,29462,0.0
2020-04-05,0,24491,0.0
2020-04-06,0,27349,0.0
2020-04-07,0,27725,0.0
2020-04-08,0,29042,0.0
2020-04-09,0,37898,0.0
2020-04-10,0,22798,0.0
2020-04-11,0,30796,0.0
2020-04-12,0,19954,0.0
2020-04-13,0,28037,0.0
2020-04-14,0,30787,0.0
2020-04-15,0,31119,0.0
2020-04-16,0,31986,0.0
2020-04-17,0,35994,0.0
2020-04-18,0,32074,0.0
2020-04-19,0,26752,0.0
2020-04-20,0,31599,0.0
2020-04-21,0,32603,0.0
2020-04-22,0,32849,0.0
2020-04-23,0,32855,0.0
2020-04-24,0,36426,0.0
2020-04-25,0,32793,0.0
2020-04-26,0,27755,0.0
2020-04-27,0,31532,0.0
2020-04-28,0,32421,0.0
2020-04-29,0,32667,0.0
2020-04-30,0,37417,0.0
2020-05-01,0,40525,0.0
2020-05-02,0,34906,0.0
2020-05-03,0,31941,0.0
2020-05-04,0,33791,0.0
2020-05-05,0,33283,0.0
2020-05-06,0,33193,0.0
2020-05-07,0,34337,0.0
2020-05-08,0,40304,0.0
2020-05-09,0,36777,0.0
2020-05-10,0,33833,0.0
2020-05-11,0,34921,0.0
2020-05-12,0,34672,0.0
2020-05-13,0,37347,0.0
2020-05-14,0,38229,0.0
2020-05-15,0,43679,0.0
2020-05-16,0,43662,0.0
2020-05-17,0,35007,0.0
2020-05-18,0,25414,0.0
2020-05-19,0,38646,0.0
2020-05-20,0,41416,0.0
2020-05-21,0,42440,0.0
2020-05-22,0,48693,0.0
2020-05-23,0,50033,0.0
