trip_date,total_revenue_cad,total_idle_minutes
2025-01-01,5024687.72,2611282.0
2025-01-02,2931168.73,3826790.0
2025-01-03,3501566.57,4121833.0
2025-01-04,3741900.72,4333445.0
2025-01-05,3223289.07,3156074.0
2025-01-06,3286326.04,3793629.0
2025-01-07,3432069.4,3746728.0
2025-01-08,3570982.28,3936677.0
2025-01-09,3760918.13,3948561.0
2025-01-10,4362001.08,3724392.0
2025-01-11,4556470.15,3395729.0
2025-01-12,3561186.34,2968312.0
2025-01-13,3669596.3,3327967.0
2025-01-14,3932025.72,3438932.0
2025-01-15,4107229.72,3542463.0
2025-01-16,4492620.16,3047047.0
2025-01-17,4717688.08,3292096.0
2025-01-18,4958201.1,3491721.0
2025-01-19,3917320.7,2621295.0
2025-01-20,3974836.97,2986405.0
2025-01-21,4358790.74,3117485.0
2025-01-22,4609570.9,3176256.0
2025-01-23,4682083.12,3194841.0
2025-01-24,4899795.04,3397189.0
2025-01-25,4982144.3,3032988.0
2025-01-26,4055506.99,2569451.0
2025-01-27,3786974.6,3275140.0
2025-01-28,4543826.97,2637346.0
2025-01-29,4483245.2,2846222.0
2025-01-30,4490236.1,3286924.0
2025-01-31,5107984.8,3083601.0
2025-02-01,5345302.8,2991965.0
2025-02-02,4069964.15,2331181.0
2025-02-03,3710816.62,2937500.0
2025-02-04,4044339.96,3279919.0
2025-02-05,4186910.83,3382926.0
2025-02-06,4562976.74,3025866.0
2025-02-07,5005146.99,3145552.0
2025-02-08,5029915.26,3176466.0
2025-02-09,4497110.26,1879338.0
2025-02-10,3777240.67,2984347.0
2025-02-11,4158050.86,3266589.83
2025-02-12,4479997.31,2853533.94
2025-02-13,4457477.38,1701744.42
2025-02-14,6518285.5,1665303.35
2025-02-15,5408479.01,2217914.36
2025-02-16,4671870.84,900243.82
2025-02-17,3658229.95,1456878.1
2025-02-18,5521010.9,1588315.88
2025-02-19,5296694.49,1944299.26
2025-02-20,5381118.61,2188639.64
2025-02-21,5851121.38,2267044.96
2025-02-22,5953536.0,2540617.21
2025-02-23,4617301.27,1925361.89
2025-02-24,3906558.37,2715367.8
2025-02-25,4411214.89,3016110.4
2025-02-26,4444966.5,3091297.54
2025-02-27,4895641.17,2953251.32
2025-02-28,5267422.74,2793006.54
2025-03-01,6064425.04,2758849.18
2025-03-02,4706526.04,2743857.04
2025-03-03,4025628.99,2853888.04
2025-03-04,4326011.58,3174948.2
2025-03-05,4753546.85,3166988.08
2025-03-06,4616101.76,3369593.8
2025-03-07,4928196.85,3571254.98
2025-03-08,5445617.33,3482222.06
2025-03-09,4194146.62,2777140.86
2025-03-10,3530422.85,3341483.69
2025-03-11,3719505.88,3749844.77
2025-03-12,3940875.42,3915101.22
2025-03-13,4172800.49,3988093.37
2025-03-14,4747301.66,3887770.65
2025-03-15,5468583.92,4002702.25
2025-03-16,4370344.47,3346092.81
2025-03-17,3793504.13,3616913.09
2025-03-18,3976856.84,3800297.41
2025-03-19,4161866.21,3944214.89
2025-03-20,4592959.93,3668612.85
2025-03-21,4988351.52,3778533.11
2025-03-22,5695579.91,3933020.92
2025-03-23,4537582.06,3137459.65
2025-03-24,3889579.64,3532575.09
2025-03-25,4117646.99,3910894.01
2025-03-26,4336649.07,3898072.21
2025-03-27,4696977.87,3663396.88
2025-03-28,5277198.46,3499104.65
2025-03-29,5753156.55,3117115.3
2025-03-30,4506139.32,1639684.4
2025-03-31,3877857.01,2558418.48
2025-04-01,4116698.18,3511120.0
2025-04-02,5183022.66,3024140.05
2025-04-03,4849128.77,3581778.57
2025-04-04,5236802.67,3851473.18
2025-04-05,5628183.23,3982586.14
2025-04-06,4393724.94,3165538.49
2025-04-07,3854321.06,3842278.2
2025-04-08,4625087.92,3759033.82
2025-04-09,4428532.29,4160734.77
2025-04-10,4855942.87,3942776.32
2025-04-11,5205797.29,4016100.55
2025-04-12,5765633.69,3932581.87
2025-04-13,4523296.87,2983962.07
2025-04-14,3774116.21,3840235.72
2025-04-15,4180326.75,4036943.12
2025-04-16,4399158.6,4154926.6
2025-04-17,5290316.11,3347820.88
2025-04-18,4021238.55,4356211.33
2025-04-19,4724704.25,4061704.53
2025-04-20,4191924.0,3114471.12
2025-04-21,3442495.06,3529180.42
2025-04-22,4214531.01,4042318.48
2025-04-23,4375111.5,4148447.06
2025-04-24,4789610.79,4124669.94
2025-04-25,5260551.19,4116513.91
2025-04-26,6011832.34,3787429.74
2025-04-27,4920945.86,2838792.63
2025-04-28,3947599.22,3416591.46
2025-04-29,4637138.7,3570283.78
2025-04-30,4866647.67,3421868.19
2025-05-01,5335306.01,3491085.62
2025-05-02,5062556.01,3909206.72
2025-05-03,5582596.36,3991205.39
2025-05-04,4882773.12,2823286.14
2025-05-05,3966105.87,3673178.03
2025-05-06,4188328.8,3974680.9
2025-05-07,4536008.32,4077148.58
2025-05-08,4694902.86,4077714.4
2025-05-09,5232058.78,3915626.63
2025-05-10,5729706.38,3648816.13
2025-05-11,4741854.5,2884664.22
2025-05-12,3899681.44,3528823.69
2025-05-13,4392344.4,3968935.36
2025-05-14,4681741.39,4063183.36
2025-05-15,4833672.9,3997989.59
2025-05-16,5412476.45,3909341.91
2025-05-17,5242762.27,4300774.97
2025-05-18,4749848.29,3299690.04
2025-05-19,3326252.2,2886799.95
2025-05-20,3925420.85,3912454.25
2025-05-21,4910922.76,3633624.87
2025-05-22,5261278.4,3299674.72
2025-05-23,5276401.92,4177327.76
2025-05-24,6071089.59,3945169.57
2025-05-25,5035810.73,3127440.32
2025-05-29,4930593.79,4020770.73
2025-05-30,5558810.65,3570851.73
2025-05-31,5916364.18,3673271.06
2025-06-01,4695025.35,2845763.61
2025-06-02,3825032.4,3595535.01
