trip_date,total_pooled_trips,total_trips,pool_efficiency_pct
2025-01-01,7398,223907,3.304050342329628
2025-01-02,3348,158260,2.115506129154556
2025-01-03,4598,191189,2.404950075579662
2025-01-04,5075,202363,2.5078695216022693
2025-01-05,5278,167723,3.1468552315424834
2025-01-06,4031,179909,2.2405771806857913
2025-01-07,4954,187479,2.6424292854132996
2025-01-08,5054,197276,2.5618929824205683
2025-01-09,4490,205742,2.1823448785371973
2025-01-10,6396,233444,2.739843388564281
2025-01-11,6680,233615,2.8594054320142117
2025-01-12,5808,184652,3.1453761670601996
2025-01-13,5559,188707,2.9458366674262217
2025-01-14,6177,207042,2.983452632799142
2025-01-15,6135,216790,2.82992757968541
2025-01-16,6086,229228,2.6549985167606054
2025-01-17,6746,246140,2.7407166653124237
2025-01-18,7946,261853,3.0345270056100175
2025-01-19,7505,202215,3.711396286131098
2025-01-20,7309,213153,3.42899232007056
2025-01-21,7792,231622,3.3641018556095705
2025-01-22,9132,242769,3.7616005338408116
2025-01-23,8129,240379,3.3817429975164224
2025-01-24,8509,258241,3.2949841427193975
2025-01-25,8496,260143,3.2658960648566366
2025-01-26,7764,205833,3.771989914153707
2025-01-27,7114,201105,3.5374555580418185
2025-01-28,7905,223832,3.5316666070981806
2025-01-29,8041,229780,3.4994342414483417
2025-01-30,7329,230855,3.1747200623768164
2025-01-31,7790,264427,2.945992655818052
2025-02-01,8764,276453,3.1701591228888817
2025-02-02,7276,208482,3.4899895434617854
2025-02-03,5955,193083,3.084165876850888
2025-02-04,6319,212552,2.972919567917498
2025-02-05,5964,219075,2.7223553577541937
2025-02-06,6117,228463,2.6774576189579933
2025-02-07,8424,262292,3.2116877373309136
2025-02-08,9186,259690,3.5372944664792634
2025-02-09,9156,215467,4.249374614210065
2025-02-10,6625,200800,3.2993027888446216
2025-02-11,6972,216931,3.213925165144677
2025-02-12,9062,229364,3.950925166983485
2025-02-13,8190,215964,3.7922987164527426
2025-02-14,11086,299188,3.705362514539353
2025-02-15,9862,267803,3.6825577009966284
2025-02-16,11632,195939,5.936541474642619
2025-02-17,6426,174122,3.690515845211978
2025-02-18,10646,240938,4.41856411192921
2025-02-19,9516,240191,3.9618470300719006
2025-02-20,9054,259133,3.4939587007444053
2025-02-21,11254,282554,3.982955470458744
2025-02-22,10059,279215,3.6026001468402487
2025-02-23,8604,212106,4.0564623348703
2025-02-24,6737,197544,3.4103794597659256
2025-02-25,7632,212721,3.5877981017388976
2025-02-26,7604,220524,3.4481507681703576
2025-02-27,8662,239735,3.6131561932967653
2025-02-28,9993,275087,3.632668937463421
2025-03-01,10850,293682,3.6944722523001072
2025-03-02,9556,235251,4.062044369630735
2025-03-03,6978,209900,3.3244402096236305
2025-03-04,7172,219906,3.2613935044973763
2025-03-05,9867,236318,4.175306155265362
2025-03-06,9806,242762,4.039347179542103
2025-03-07,10279,258801,3.9717775433634332
2025-03-08,10700,272794,3.9223736592447045
2025-03-09,9554,206441,4.627956655896842
2025-03-10,6840,183752,3.722408463581349
2025-03-11,7283,194906,3.736673062912378
2025-03-12,8113,207059,3.918206887891857
2025-03-13,8429,217731,3.871290721119179
2025-03-14,9630,245901,3.9162101821464734
2025-03-15,10446,267118,3.910631256598208
2025-03-16,9931,213382,4.654094534684275
2025-03-17,7282,196577,3.704400820034897
2025-03-18,6731,200250,3.3612983770287137
2025-03-19,6769,206320,3.280825901512214
2025-03-20,8551,236913,3.6093418259023355
2025-03-21,10232,256703,3.9859292645586533
2025-03-22,13102,279444,4.688595926196304
2025-03-23,11110,219393,5.063971958995957
2025-03-24,9020,197414,4.569078180878763
2025-03-25,8634,207547,4.160021585472206
2025-03-26,9217,217084,4.245821893829117
2025-03-27,10030,229327,4.373667296044513
2025-03-28,11923,269032,4.431814802700051
2025-03-29,12789,288834,4.4278028209975275
2025-03-30,12126,218876,5.540123174765621
2025-03-31,8156,196625,4.147997457088366
2025-04-01,8095,207081,3.909098372134576
2025-04-02,13445,257958,5.212088789647927
2025-04-03,9476,237198,3.9949746625182336
2025-04-04,9801,263140,3.724633275062704
2025-04-05,10184,278908,3.6513832518249743
2025-04-06,8873,215842,4.110877401061888
2025-04-07,7059,198080,3.563711631663974
2025-04-08,9473,227814,4.1582167908908145
2025-04-09,8449,223460,3.780989886333125
