_id,vehid,hr,reported_trips_started,reported_trip_fractions,pooled_trips_started,pooled_trip_fractions,routed_trips_started,driver_cancelled_trips,passenger_cancelled_trips,toronto_boundary_crossed,fares,time_available,time_enroute,time_waiting,time_ontrip,dist_available_routed,dist_enroute_routed,dist_ontrip_routed,dist_ontrip_reported
1,00rO7nIbPm1o.g5lVd0.WeqMZsp8IljiXReDvxnbeUEZHBS26tP66,2025-09-01 00:00:00-04,0,0.00,0,0.00,0,0,0,f,0.00,58.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2,00XJKKtlr24OUJ2eG9Ixkucmia.RTyftEokeNNMlIpNeB0JZSNoWS,2025-09-01 00:00:00-04,0,0.00,0,0.00,0,0,0,t,0.00,34.90,0.00,0.00,0.00,25.5,0.0,0.0,0.0
3,00ZhAtdVZWqw.0ZyNTD1F.Y/FZM.cTZ/fPdoyUhmi7BmhMHjcdflW,2025-09-01 00:00:00-04,3,3.21,0,0.00,3,0,0,f,44.56,3.73,12.28,1.95,42.03,1.5,2.9,23.3,22.8
4,01lTbyIdtE3AGBlDPtzgzeQjVGL/v7JpN4bo.9mIiVeHXx4VV/obG,2025-09-01 00:00:00-04,3,3.35,0,0.00,3,0,1,f,37.99,1.00,11.00,4.00,32.00,0.1,1.4,10.5,10.0
5,01tjPggxqA4.Dp9SceBnHODtio/aTPY88Cm5CAVmkmAtE0X0G2BQ2,2025-09-01 00:00:00-04,2,2.00,0,0.00,2,0,0,f,44.30,15.00,0.00,0.00,45.00,4.4,0.0,12.6,12.6
6,02RowynLTj977gRqhDucmedU1jxfthzd/xR40ZJm6Bo3YPURvR6Zm,2025-09-01 00:00:00-04,1,1.00,0,0.00,1,0,0,f,10.22,16.37,5.68,0.78,7.63,16.4,2.4,3.8,3.1
7,02Seiv3cds.I/T31E2Q.U.dwDtPFZMn2n/RI9iAp38VPGoGXBx0Z6,2025-09-01 00:00:00-04,0,0.16,0,0.00,0,0,0,t,7.87,0.00,0.00,0.00,7.00,0.0,0.0,3.0,4.9
8,03vAJPUp9wz9QJIwJkVhCuqNfTa7O7VDfUQVDc.SdFmt6AK.oxV7a,2025-09-01 00:00:00-04,2,1.68,0,0.00,2,0,0,f,24.06,6.00,11.47,1.30,41.23,0.4,4.8,9.4,6.5
9,05hpLHHuKxXlwh9QBR6g3etEbVsR7RoZRk88ECrcHqMg.kjfzzLue,2025-09-01 00:00:00-04,2,2.01,0,0.00,2,0,0,t,60.47,0.00,3.00,1.00,56.00,0.0,0.0,21.2,38.3
10,05mPZRTYl4uT2qo5ZReQC.8IZNlfXAULApEkKWGdkxpZYaihF9SAa,2025-09-01 00:00:00-04,2,2.21,0,0.00,2,0,0,f,49.92,6.00,9.00,6.00,38.00,2.5,2.4,20.5,19.1
11,06DTo/YeMlnnvfQanzIrUu3QPjXuO84Uwy.Ft41DPIiDd1zYDH.M.,2025-09-01 00:00:00-04,1,1.67,0,0.00,1,0,0,t,57.43,15.00,3.00,1.00,41.00,1.8,0.6,37.5,39.5
12,06Jf4L0aM2iLW0.OVrC.EO/922FtwURTwkXg8/7Lo4iTuXFQEfUhW,2025-09-01 00:00:00-04,0,0.00,0,0.00,0,0,0,f,0.00,1.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
13,06SCwE5B1ZxBHai90Df.JOY8aEtRaOU2pde5I8y/M4jKWLoKwRPpG,2025-09-01 00:00:00-04,0,0.20,0,0.00,0,0,0,f,8.02,13.00,0.00,0.00,4.00,4.1,0.0,3.8,4.8
14,06UmZZ0/MKdiFx02JXp7deui5OjkQjJ3C25/ndQmMcwyy/HyCfDW.,2025-09-01 00:00:00-04,0,0.53,0,0.00,0,0,0,t,15.07,0.00,0.00,0.00,13.00,0.0,0.0,2.4,16.7
15,07EhDX.QWUTc1HrNQg/QwOc.nB22ckyW06gq2XykWFtvHLbCO85Vq,2025-09-01 00:00:00-04,2,1.96,0,0.00,2,0,0,f,41.38,5.00,4.00,10.00,40.00,2.9,2.1,15.1,14.6
16,07.g2EcnS2sQJoU0DuBD1e9OsXvNlY1Z4q9B56zJ7jZZey9QfEXse,2025-09-01 00:00:00-04,0,0.23,0,0.00,0,0,0,t,2.20,0.00,0.00,0.00,2.90,0.0,0.0,2.4,1.9
17,07i510CvMhTnqdvH7AJFUu3CyXt.7u16oHpzUyz0eXOgxMdEl/xKG,2025-09-01 00:00:00-04,2,2.08,0,0.00,2,0,0,f,34.86,14.00,8.00,4.00,34.00,2.9,0.0,9.9,9.4
18,07kW0cpgpJ4.KeCVNSq/C.oyhrE2hqzMawJF4uT4FGsLJrCqwJZai,2025-09-01 00:00:00-04,1,0.83,0,0.00,1,0,1,f,7.69,44.00,2.00,0.00,10.00,16.9,0.7,3.8,3.2
19,07oOHO8.K9Y2LjseqETkleU9c.LEiru2PcVPPTK2uqVL3rxr2Xkwi,2025-09-01 00:00:00-04,4,3.33,0,0.00,4,0,0,t,54.01,6.00,9.00,3.00,33.00,7.5,1.6,27.8,24.7
20,0.847aX5UopmDafZX5fy3uUncSTAbHItzwkivxi2dksSjgAV5k4au,2025-09-01 00:00:00-04,3,3.47,0,0.00,3,0,1,t,60.02,4.00,6.00,7.00,43.00,0.1,2.0,22.3,30.3
21,08FmUDdZHWKhZTTaNYJQP.F0dtaUdM6gyXgbpkF0ryVyPRSnVGkLC,2025-09-01 00:00:00-04,0,0.00,0,0.00,0,0,0,t,0.00,29.30,0.00,0.00,0.00,11.2,0.0,0.0,0.0
22,08N53LEMwKTtowcX3lh./epBavM/ls0.xcQMj4zGS/uPnSmGoj/Li,2025-09-01 00:00:00-04,1,1.00,0,0.00,1,0,0,f,7.14,20.00,4.00,1.00,5.00,10.0,1.9,1.8,1.9
23,08NFs451pj2ViEtMlp8GT.XlNEFKbVZOjbmJmwx56T6MLNw2ArZNe,2025-09-01 00:00:00-04,2,2.18,0,0.00,2,0,1,f,43.04,2.00,17.00,1.00,32.00,0.0,1.3,12.0,14.5
24,09G0XwFtP5DK4d/QkLd6ZuVIYpqBH3BsxkD4pCchRRB6EqGinsEh2,2025-09-01 00:00:00-04,1,1.00,0,0.00,1,0,0,t,15.79,4.00,0.00,0.00,15.00,1.1,0.0,7.1,9.1
